vid,file_path,source,x1,y1,x2,y2,frame_width,frame_height,detection_rate,num_sampled_frames,num_detected_frames,failed,error
-06_nJnhORg_10-5-rgb_front,D:\how2sign\train\-06_nJnhORg_10-5-rgb_front.mp4,how2sign,351,86,1074,720,1280,720,1.0,38,38,False,
-06_nJnhORg_11-5-rgb_front,D:\how2sign\train\-06_nJnhORg_11-5-rgb_front.mp4,how2sign,397,143,1033,660,1280,720,1.0,20,20,False,
-06_nJnhORg_14-5-rgb_front,D:\how2sign\train\-06_nJnhORg_14-5-rgb_front.mp4,how2sign,380,136,1055,660,1280,720,1.0,28,28,False,
-06_nJnhORg_19-5-rgb_front,D:\how2sign\train\-06_nJnhORg_19-5-rgb_front.mp4,how2sign,320,77,1136,720,1280,720,1.0,16,16,False,
-06_nJnhORg_9-5-rgb_front,D:\how2sign\train\-06_nJnhORg_9-5-rgb_front.mp4,how2sign,388,96,1039,720,1280,720,1.0,14,14,False,
-08ZGCviCm4_1-5-rgb_front,D:\how2sign\train\-08ZGCviCm4_1-5-rgb_front.mp4,how2sign,416,142,1050,632,1280,720,1.0,36,36,False,
-08ZGCviCm4_7-5-rgb_front,D:\how2sign\train\-08ZGCviCm4_7-5-rgb_front.mp4,how2sign,402,96,1027,720,1280,720,1.0,18,18,False,
-08ZGCviCm4_9-5-rgb_front,D:\how2sign\train\-08ZGCviCm4_9-5-rgb_front.mp4,how2sign,413,90,1028,720,1280,720,1.0,17,17,False,
-0BynF9TSNI_11-5-rgb_front,D:\how2sign\train\-0BynF9TSNI_11-5-rgb_front.mp4,how2sign,420,156,998,642,1280,720,1.0,9,9,False,
-0BynF9TSNI_12-5-rgb_front,D:\how2sign\train\-0BynF9TSNI_12-5-rgb_front.mp4,how2sign,384,132,1021,645,1280,720,1.0,32,32,False,
-0BynF9TSNI_4-5-rgb_front,D:\how2sign\train\-0BynF9TSNI_4-5-rgb_front.mp4,how2sign,412,100,1028,720,1280,720,1.0,31,31,False,
-0BynF9TSNI_5-5-rgb_front,D:\how2sign\train\-0BynF9TSNI_5-5-rgb_front.mp4,how2sign,431,147,1010,641,1280,720,1.0,8,8,False,
-0BynF9TSNI_6-5-rgb_front,D:\how2sign\train\-0BynF9TSNI_6-5-rgb_front.mp4,how2sign,343,116,1086,654,1280,720,1.0,22,22,False,
-0BynF9TSNI_7-5-rgb_front,D:\how2sign\train\-0BynF9TSNI_7-5-rgb_front.mp4,how2sign,417,144,1003,659,1280,720,1.0,29,29,False,
-0BynF9TSNI_8-5-rgb_front,D:\how2sign\train\-0BynF9TSNI_8-5-rgb_front.mp4,how2sign,297,149,1133,616,1280,720,1.0,17,17,False,
-0BynF9TSNI_9-5-rgb_front,D:\how2sign\train\-0BynF9TSNI_9-5-rgb_front.mp4,how2sign,442,149,994,624,1280,720,1.0,23,23,False,
-0FA6OhxZSE_11-5-rgb_front,D:\how2sign\train\-0FA6OhxZSE_11-5-rgb_front.mp4,how2sign,417,119,1020,720,1280,720,1.0,16,16,False,
-0FA6OhxZSE_3-5-rgb_front,D:\how2sign\train\-0FA6OhxZSE_3-5-rgb_front.mp4,how2sign,402,112,1019,720,1280,720,1.0,19,19,False,
-0FA6OhxZSE_5-5-rgb_front,D:\how2sign\train\-0FA6OhxZSE_5-5-rgb_front.mp4,how2sign,382,140,1029,651,1280,720,1.0,27,27,False,
-0FA6OhxZSE_7-5-rgb_front,D:\how2sign\train\-0FA6OhxZSE_7-5-rgb_front.mp4,how2sign,402,136,1068,648,1280,720,1.0,20,20,False,
-0JdYlTf9Y8_11-5-rgb_front,D:\how2sign\train\-0JdYlTf9Y8_11-5-rgb_front.mp4,how2sign,392,127,1051,698,1280,720,1.0,14,14,False,
-0JdYlTf9Y8_3-5-rgb_front,D:\how2sign\train\-0JdYlTf9Y8_3-5-rgb_front.mp4,how2sign,335,114,1084,691,1280,720,1.0,13,13,False,
-0JdYlTf9Y8_4-5-rgb_front,D:\how2sign\train\-0JdYlTf9Y8_4-5-rgb_front.mp4,how2sign,305,118,1097,693,1280,720,1.0,39,39,False,
-0JdYlTf9Y8_7-5-rgb_front,D:\how2sign\train\-0JdYlTf9Y8_7-5-rgb_front.mp4,how2sign,369,132,1059,684,1280,720,1.0,28,28,False,
-0JdYlTf9Y8_9-5-rgb_front,D:\how2sign\train\-0JdYlTf9Y8_9-5-rgb_front.mp4,how2sign,335,114,1099,698,1280,720,1.0,35,35,False,
-0N0jbyBW6g_1-5-rgb_front,D:\how2sign\train\-0N0jbyBW6g_1-5-rgb_front.mp4,how2sign,390,91,1013,720,1280,720,1.0,23,23,False,
-0N0jbyBW6g_10-5-rgb_front,D:\how2sign\train\-0N0jbyBW6g_10-5-rgb_front.mp4,how2sign,423,95,1009,720,1280,720,1.0,10,10,False,
-0N0jbyBW6g_2-5-rgb_front,D:\how2sign\train\-0N0jbyBW6g_2-5-rgb_front.mp4,how2sign,401,111,1011,720,1280,720,1.0,37,37,False,
-0N0jbyBW6g_4-5-rgb_front,D:\how2sign\train\-0N0jbyBW6g_4-5-rgb_front.mp4,how2sign,393,136,1010,677,1280,720,1.0,21,21,False,
-0N0jbyBW6g_9-5-rgb_front,D:\how2sign\train\-0N0jbyBW6g_9-5-rgb_front.mp4,how2sign,425,133,1019,649,1280,720,1.0,27,27,False,
-0ZqnVFv7eI_0-5-rgb_front,D:\how2sign\train\-0ZqnVFv7eI_0-5-rgb_front.mp4,how2sign,355,87,1043,720,1280,720,1.0,14,14,False,
-0ZqnVFv7eI_2-5-rgb_front,D:\how2sign\train\-0ZqnVFv7eI_2-5-rgb_front.mp4,how2sign,401,136,1019,672,1280,720,1.0,34,34,False,
-0ZqnVFv7eI_4-5-rgb_front,D:\how2sign\train\-0ZqnVFv7eI_4-5-rgb_front.mp4,how2sign,340,127,1121,663,1280,720,1.0,29,29,False,
-0ZqnVFv7eI_5-5-rgb_front,D:\how2sign\train\-0ZqnVFv7eI_5-5-rgb_front.mp4,how2sign,371,111,1038,705,1280,720,1.0,25,25,False,
-0daC3SWCPQ_1-5-rgb_front,D:\how2sign\train\-0daC3SWCPQ_1-5-rgb_front.mp4,how2sign,357,111,1100,720,1280,720,1.0,11,11,False,
-0daC3SWCPQ_10-5-rgb_front,D:\how2sign\train\-0daC3SWCPQ_10-5-rgb_front.mp4,how2sign,377,93,1063,720,1280,720,1.0,38,38,False,
-0daC3SWCPQ_11-5-rgb_front,D:\how2sign\train\-0daC3SWCPQ_11-5-rgb_front.mp4,how2sign,353,93,1082,720,1280,720,1.0,33,33,False,
-0daC3SWCPQ_13-5-rgb_front,D:\how2sign\train\-0daC3SWCPQ_13-5-rgb_front.mp4,how2sign,366,93,1028,720,1280,720,1.0,35,35,False,
-0daC3SWCPQ_2-5-rgb_front,D:\how2sign\train\-0daC3SWCPQ_2-5-rgb_front.mp4,how2sign,375,90,1054,720,1280,720,1.0,36,36,False,
-0daC3SWCPQ_3-5-rgb_front,D:\how2sign\train\-0daC3SWCPQ_3-5-rgb_front.mp4,how2sign,410,85,1014,720,1280,720,1.0,22,22,False,
-0daC3SWCPQ_5-5-rgb_front,D:\how2sign\train\-0daC3SWCPQ_5-5-rgb_front.mp4,how2sign,406,131,1030,636,1280,720,1.0,25,25,False,
-0daC3SWCPQ_6-5-rgb_front,D:\how2sign\train\-0daC3SWCPQ_6-5-rgb_front.mp4,how2sign,437,101,992,720,1280,720,1.0,23,23,False,
-0daC3SWCPQ_8-5-rgb_front,D:\how2sign\train\-0daC3SWCPQ_8-5-rgb_front.mp4,how2sign,403,92,1045,720,1280,720,1.0,31,31,False,
-0daC3SWCPQ_9-5-rgb_front,D:\how2sign\train\-0daC3SWCPQ_9-5-rgb_front.mp4,how2sign,324,89,1129,720,1280,720,1.0,34,34,False,
-0oP2H0vAGY_1-5-rgb_front,D:\how2sign\train\-0oP2H0vAGY_1-5-rgb_front.mp4,how2sign,351,102,1061,720,1280,720,1.0,36,36,False,
-0oP2H0vAGY_10-5-rgb_front,D:\how2sign\train\-0oP2H0vAGY_10-5-rgb_front.mp4,how2sign,425,84,1013,720,1280,720,1.0,27,27,False,
-0oP2H0vAGY_18-5-rgb_front,D:\how2sign\train\-0oP2H0vAGY_18-5-rgb_front.mp4,how2sign,408,127,1015,672,1280,720,1.0,9,9,False,
-0oP2H0vAGY_2-5-rgb_front,D:\how2sign\train\-0oP2H0vAGY_2-5-rgb_front.mp4,how2sign,332,128,1097,640,1280,720,1.0,10,10,False,
-0oP2H0vAGY_3-5-rgb_front,D:\how2sign\train\-0oP2H0vAGY_3-5-rgb_front.mp4,how2sign,405,108,1028,720,1280,720,1.0,19,19,False,
-0oP2H0vAGY_6-5-rgb_front,D:\how2sign\train\-0oP2H0vAGY_6-5-rgb_front.mp4,how2sign,353,0,1032,720,1280,720,1.0,21,21,False,
-0oP2H0vAGY_7-5-rgb_front,D:\how2sign\train\-0oP2H0vAGY_7-5-rgb_front.mp4,how2sign,398,105,1049,720,1280,720,1.0,29,29,False,
-0oP2H0vAGY_8-5-rgb_front,D:\how2sign\train\-0oP2H0vAGY_8-5-rgb_front.mp4,how2sign,289,124,1167,720,1280,720,1.0,20,20,False,
-0sphqZT1eQ_1-5-rgb_front,D:\how2sign\train\-0sphqZT1eQ_1-5-rgb_front.mp4,how2sign,409,142,1029,652,1280,720,1.0,34,34,False,
-0sphqZT1eQ_2-5-rgb_front,D:\how2sign\train\-0sphqZT1eQ_2-5-rgb_front.mp4,how2sign,361,105,1084,720,1280,720,1.0,37,37,False,
-0sphqZT1eQ_6-5-rgb_front,D:\how2sign\train\-0sphqZT1eQ_6-5-rgb_front.mp4,how2sign,429,113,1002,720,1280,720,1.0,21,21,False,
-0yRaqY7nTE_1-5-rgb_front,D:\how2sign\train\-0yRaqY7nTE_1-5-rgb_front.mp4,how2sign,356,99,1005,720,1280,720,1.0,10,10,False,
-0yRaqY7nTE_2-5-rgb_front,D:\how2sign\train\-0yRaqY7nTE_2-5-rgb_front.mp4,how2sign,366,97,1037,720,1280,720,1.0,24,24,False,
-0yRaqY7nTE_3-5-rgb_front,D:\how2sign\train\-0yRaqY7nTE_3-5-rgb_front.mp4,how2sign,390,120,1046,720,1280,720,1.0,25,25,False,
-0yRaqY7nTE_5-5-rgb_front,D:\how2sign\train\-0yRaqY7nTE_5-5-rgb_front.mp4,how2sign,396,113,1030,720,1280,720,1.0,26,26,False,
-0yRaqY7nTE_9-5-rgb_front,D:\how2sign\train\-0yRaqY7nTE_9-5-rgb_front.mp4,how2sign,383,134,1037,665,1280,720,1.0,24,24,False,
-1KpdDGPCq4_0-5-rgb_front,D:\how2sign\train\-1KpdDGPCq4_0-5-rgb_front.mp4,how2sign,414,101,1044,720,1280,720,1.0,19,19,False,
-1KpdDGPCq4_1-5-rgb_front,D:\how2sign\train\-1KpdDGPCq4_1-5-rgb_front.mp4,how2sign,427,106,1051,720,1280,720,1.0,12,12,False,
-1KpdDGPCq4_2-5-rgb_front,D:\how2sign\train\-1KpdDGPCq4_2-5-rgb_front.mp4,how2sign,447,103,1028,720,1280,720,1.0,38,38,False,
-1KpdDGPCq4_4-5-rgb_front,D:\how2sign\train\-1KpdDGPCq4_4-5-rgb_front.mp4,how2sign,465,88,1013,720,1280,720,1.0,18,18,False,
-1PeVdIwiq0_1-8-rgb_front,D:\how2sign\train\-1PeVdIwiq0_1-8-rgb_front.mp4,how2sign,443,140,944,704,1280,720,1.0,13,13,False,
-1PeVdIwiq0_13-8-rgb_front,D:\how2sign\train\-1PeVdIwiq0_13-8-rgb_front.mp4,how2sign,434,123,972,720,1280,720,1.0,21,21,False,
-1PeVdIwiq0_14-8-rgb_front,D:\how2sign\train\-1PeVdIwiq0_14-8-rgb_front.mp4,how2sign,444,148,980,717,1280,720,1.0,23,23,False,
-1PeVdIwiq0_15-8-rgb_front,D:\how2sign\train\-1PeVdIwiq0_15-8-rgb_front.mp4,how2sign,394,126,969,720,1280,720,1.0,26,26,False,
-1PeVdIwiq0_16-8-rgb_front,D:\how2sign\train\-1PeVdIwiq0_16-8-rgb_front.mp4,how2sign,397,138,974,710,1280,720,1.0,26,26,False,
-1PeVdIwiq0_18-8-rgb_front,D:\how2sign\train\-1PeVdIwiq0_18-8-rgb_front.mp4,how2sign,407,122,1047,720,1280,720,1.0,36,36,False,
-1PeVdIwiq0_2-8-rgb_front,D:\how2sign\train\-1PeVdIwiq0_2-8-rgb_front.mp4,how2sign,423,141,959,699,1280,720,1.0,16,16,False,
-1PeVdIwiq0_23-8-rgb_front,D:\how2sign\train\-1PeVdIwiq0_23-8-rgb_front.mp4,how2sign,345,140,976,704,1280,720,1.0,33,33,False,
-1PeVdIwiq0_24-8-rgb_front,D:\how2sign\train\-1PeVdIwiq0_24-8-rgb_front.mp4,how2sign,347,121,1032,720,1280,720,1.0,35,35,False,
-1PeVdIwiq0_25-8-rgb_front,D:\how2sign\train\-1PeVdIwiq0_25-8-rgb_front.mp4,how2sign,369,157,952,647,1280,720,1.0,11,11,False,
-1PeVdIwiq0_26-8-rgb_front,D:\how2sign\train\-1PeVdIwiq0_26-8-rgb_front.mp4,how2sign,407,127,967,720,1280,720,1.0,11,11,False,
-1PeVdIwiq0_3-8-rgb_front,D:\how2sign\train\-1PeVdIwiq0_3-8-rgb_front.mp4,how2sign,428,115,976,720,1280,720,1.0,25,25,False,
-1PeVdIwiq0_4-8-rgb_front,D:\how2sign\train\-1PeVdIwiq0_4-8-rgb_front.mp4,how2sign,326,130,1010,720,1280,720,1.0,21,21,False,
-1PeVdIwiq0_5-8-rgb_front,D:\how2sign\train\-1PeVdIwiq0_5-8-rgb_front.mp4,how2sign,337,117,986,720,1280,720,1.0,37,37,False,
-1PeVdIwiq0_6-8-rgb_front,D:\how2sign\train\-1PeVdIwiq0_6-8-rgb_front.mp4,how2sign,415,148,1017,712,1280,720,1.0,38,38,False,
-1PeVdIwiq0_9-8-rgb_front,D:\how2sign\train\-1PeVdIwiq0_9-8-rgb_front.mp4,how2sign,337,137,1073,707,1280,720,1.0,31,31,False,
-1Uik-vwQoc_2-5-rgb_front,D:\how2sign\train\-1Uik-vwQoc_2-5-rgb_front.mp4,how2sign,451,104,1030,720,1280,720,1.0,17,17,False,
-1Uik-vwQoc_3-5-rgb_front,D:\how2sign\train\-1Uik-vwQoc_3-5-rgb_front.mp4,how2sign,448,93,1031,720,1280,720,1.0,23,23,False,
-1Uik-vwQoc_4-5-rgb_front,D:\how2sign\train\-1Uik-vwQoc_4-5-rgb_front.mp4,how2sign,451,91,1037,720,1280,720,1.0,14,14,False,
-1Uik-vwQoc_8-5-rgb_front,D:\how2sign\train\-1Uik-vwQoc_8-5-rgb_front.mp4,how2sign,431,86,1038,720,1280,720,1.0,18,18,False,
-1Uik-vwQoc_9-5-rgb_front,D:\how2sign\train\-1Uik-vwQoc_9-5-rgb_front.mp4,how2sign,408,117,1065,705,1280,720,1.0,36,36,False,
-1XUnputrgk_0-5-rgb_front,D:\how2sign\train\-1XUnputrgk_0-5-rgb_front.mp4,how2sign,411,94,1046,720,1280,720,1.0,23,23,False,
-1XUnputrgk_1-5-rgb_front,D:\how2sign\train\-1XUnputrgk_1-5-rgb_front.mp4,how2sign,426,110,1032,702,1280,720,1.0,9,9,False,
-1XUnputrgk_10-5-rgb_front,D:\how2sign\train\-1XUnputrgk_10-5-rgb_front.mp4,how2sign,275,100,1185,720,1280,720,1.0,13,13,False,
-1XUnputrgk_11-5-rgb_front,D:\how2sign\train\-1XUnputrgk_11-5-rgb_front.mp4,how2sign,435,133,1057,665,1280,720,1.0,17,17,False,
-1XUnputrgk_12-5-rgb_front,D:\how2sign\train\-1XUnputrgk_12-5-rgb_front.mp4,how2sign,460,126,1042,668,1280,720,1.0,16,16,False,
-1XUnputrgk_13-5-rgb_front,D:\how2sign\train\-1XUnputrgk_13-5-rgb_front.mp4,how2sign,395,131,1051,661,1280,720,1.0,14,14,False,
-1XUnputrgk_14-5-rgb_front,D:\how2sign\train\-1XUnputrgk_14-5-rgb_front.mp4,how2sign,451,134,1040,662,1280,720,1.0,31,31,False,
-1XUnputrgk_15-5-rgb_front,D:\how2sign\train\-1XUnputrgk_15-5-rgb_front.mp4,how2sign,448,139,1045,688,1280,720,1.0,13,13,False,
-1XUnputrgk_17-5-rgb_front,D:\how2sign\train\-1XUnputrgk_17-5-rgb_front.mp4,how2sign,469,113,1039,720,1280,720,1.0,12,12,False,
-1XUnputrgk_18-5-rgb_front,D:\how2sign\train\-1XUnputrgk_18-5-rgb_front.mp4,how2sign,433,117,1028,720,1280,720,1.0,18,18,False,
-1XUnputrgk_19-5-rgb_front,D:\how2sign\train\-1XUnputrgk_19-5-rgb_front.mp4,how2sign,422,150,1071,666,1280,720,1.0,13,13,False,
-1XUnputrgk_20-5-rgb_front,D:\how2sign\train\-1XUnputrgk_20-5-rgb_front.mp4,how2sign,416,130,1118,655,1280,720,1.0,27,27,False,
-1XUnputrgk_21-5-rgb_front,D:\how2sign\train\-1XUnputrgk_21-5-rgb_front.mp4,how2sign,431,90,1061,720,1280,720,1.0,19,19,False,
-1XUnputrgk_22-5-rgb_front,D:\how2sign\train\-1XUnputrgk_22-5-rgb_front.mp4,how2sign,401,103,1064,720,1280,720,1.0,24,24,False,
-1XUnputrgk_23-5-rgb_front,D:\how2sign\train\-1XUnputrgk_23-5-rgb_front.mp4,how2sign,385,88,1104,720,1280,720,1.0,18,18,False,
-1XUnputrgk_3-5-rgb_front,D:\how2sign\train\-1XUnputrgk_3-5-rgb_front.mp4,how2sign,398,137,1145,661,1280,720,1.0,29,29,False,
-1XUnputrgk_4-5-rgb_front,D:\how2sign\train\-1XUnputrgk_4-5-rgb_front.mp4,how2sign,380,138,1138,650,1280,720,1.0,25,25,False,
-1XUnputrgk_5-5-rgb_front,D:\how2sign\train\-1XUnputrgk_5-5-rgb_front.mp4,how2sign,403,100,1064,720,1280,720,1.0,25,25,False,
-1XUnputrgk_6-5-rgb_front,D:\how2sign\train\-1XUnputrgk_6-5-rgb_front.mp4,how2sign,366,102,1119,720,1280,720,1.0,17,17,False,
-1XUnputrgk_7-5-rgb_front,D:\how2sign\train\-1XUnputrgk_7-5-rgb_front.mp4,how2sign,391,97,1114,720,1280,720,1.0,15,15,False,
-1XUnputrgk_8-5-rgb_front,D:\how2sign\train\-1XUnputrgk_8-5-rgb_front.mp4,how2sign,426,142,1090,656,1280,720,1.0,16,16,False,
-1XUnputrgk_9-5-rgb_front,D:\how2sign\train\-1XUnputrgk_9-5-rgb_front.mp4,how2sign,411,113,1061,720,1280,720,1.0,18,18,False,
-1eulcDdoVQ_1-5-rgb_front,D:\how2sign\train\-1eulcDdoVQ_1-5-rgb_front.mp4,how2sign,430,132,1049,654,1280,720,1.0,18,18,False,
-1fUFbij2s0_0-5-rgb_front,D:\how2sign\train\-1fUFbij2s0_0-5-rgb_front.mp4,how2sign,424,103,1060,720,1280,720,1.0,17,17,False,
-1fUFbij2s0_11-5-rgb_front,D:\how2sign\train\-1fUFbij2s0_11-5-rgb_front.mp4,how2sign,375,111,1095,720,1280,720,1.0,30,30,False,
-1fUFbij2s0_12-5-rgb_front,D:\how2sign\train\-1fUFbij2s0_12-5-rgb_front.mp4,how2sign,376,118,1098,653,1280,720,1.0,32,32,False,
-1fUFbij2s0_13-5-rgb_front,D:\how2sign\train\-1fUFbij2s0_13-5-rgb_front.mp4,how2sign,389,100,1065,720,1280,720,1.0,35,35,False,
-1fUFbij2s0_14-5-rgb_front,D:\how2sign\train\-1fUFbij2s0_14-5-rgb_front.mp4,how2sign,418,103,1044,720,1280,720,1.0,33,33,False,
-1fUFbij2s0_29-5-rgb_front,D:\how2sign\train\-1fUFbij2s0_29-5-rgb_front.mp4,how2sign,442,143,1051,656,1280,720,1.0,13,13,False,
-1fUFbij2s0_3-5-rgb_front,D:\how2sign\train\-1fUFbij2s0_3-5-rgb_front.mp4,how2sign,407,139,1081,650,1280,720,1.0,8,8,False,
-1fUFbij2s0_30-5-rgb_front,D:\how2sign\train\-1fUFbij2s0_30-5-rgb_front.mp4,how2sign,364,130,1089,684,1280,720,1.0,38,38,False,
-1fUFbij2s0_32-5-rgb_front,D:\how2sign\train\-1fUFbij2s0_32-5-rgb_front.mp4,how2sign,371,63,1129,645,1280,720,1.0,16,16,False,
-1fUFbij2s0_33-5-rgb_front,D:\how2sign\train\-1fUFbij2s0_33-5-rgb_front.mp4,how2sign,446,147,1036,631,1280,720,1.0,16,16,False,
-1fUFbij2s0_35-5-rgb_front,D:\how2sign\train\-1fUFbij2s0_35-5-rgb_front.mp4,how2sign,361,114,1092,676,1280,720,1.0,25,25,False,
-1fUFbij2s0_36-5-rgb_front,D:\how2sign\train\-1fUFbij2s0_36-5-rgb_front.mp4,how2sign,426,109,1052,720,1280,720,1.0,23,23,False,
-1fUFbij2s0_5-5-rgb_front,D:\how2sign\train\-1fUFbij2s0_5-5-rgb_front.mp4,how2sign,356,129,1098,651,1280,720,1.0,26,26,False,
-1fUFbij2s0_6-5-rgb_front,D:\how2sign\train\-1fUFbij2s0_6-5-rgb_front.mp4,how2sign,349,85,1095,720,1280,720,1.0,34,34,False,
-1fUFbij2s0_8-5-rgb_front,D:\how2sign\train\-1fUFbij2s0_8-5-rgb_front.mp4,how2sign,386,52,1109,720,1280,720,1.0,29,29,False,
-1rM0t5FMiE_0-5-rgb_front,D:\how2sign\train\-1rM0t5FMiE_0-5-rgb_front.mp4,how2sign,418,114,1055,720,1280,720,1.0,11,11,False,
-1rM0t5FMiE_1-5-rgb_front,D:\how2sign\train\-1rM0t5FMiE_1-5-rgb_front.mp4,how2sign,398,141,1056,666,1280,720,1.0,17,17,False,
-1rM0t5FMiE_5-5-rgb_front,D:\how2sign\train\-1rM0t5FMiE_5-5-rgb_front.mp4,how2sign,468,111,997,720,1280,720,1.0,29,29,False,
-1rM0t5FMiE_8-5-rgb_front,D:\how2sign\train\-1rM0t5FMiE_8-5-rgb_front.mp4,how2sign,413,142,1051,638,1280,720,1.0,16,16,False,
-23PZTqtDBw_0-5-rgb_front,D:\how2sign\train\-23PZTqtDBw_0-5-rgb_front.mp4,how2sign,436,96,1021,720,1280,720,1.0,13,13,False,
-23PZTqtDBw_1-5-rgb_front,D:\how2sign\train\-23PZTqtDBw_1-5-rgb_front.mp4,how2sign,429,107,1038,720,1280,720,1.0,18,18,False,
-23PZTqtDBw_11-5-rgb_front,D:\how2sign\train\-23PZTqtDBw_11-5-rgb_front.mp4,how2sign,431,112,1055,720,1280,720,1.0,18,18,False,
-23PZTqtDBw_12-5-rgb_front,D:\how2sign\train\-23PZTqtDBw_12-5-rgb_front.mp4,how2sign,402,138,1097,644,1280,720,1.0,36,36,False,
